<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.28	20:00:00	1.11146	1.11172	1.11052	1.11066	4397	0	10
2024.08.28	21:00:00	1.11066	1.11161	1.11055	1.11158	3601	0	10
2024.08.28	22:00:00	1.11157	1.11178	1.11130	1.11132	3509	0	10
2024.08.28	23:00:00	1.11131	1.11197	1.11123	1.11189	1696	0	10
2024.08.29	00:00:00	1.11185	1.11191	1.11177	1.11190	96	0	22
2024.08.29	01:00:00	1.11188	1.11242	1.11170	1.11240	827	0	10
2024.08.29	02:00:00	1.11241	1.11261	1.11226	1.11244	1165	0	10
2024.08.29	03:00:00	1.11245	1.11324	1.11240	1.11315	2120	0	10
2024.08.29	04:00:00	1.11314	1.11339	1.11284	1.11288	1965	0	10
2024.08.29	05:00:00	1.11288	1.11322	1.11272	1.11314	1295	0	10
2024.08.29	06:00:00	1.11314	1.11357	1.11299	1.11357	1334	0	10
2024.08.29	07:00:00	1.11357	1.11370	1.11333	1.11354	1204	0	10
2024.08.29	08:00:00	1.11354	1.11380	1.11320	1.11356	1927	0	10
2024.08.29	09:00:00	1.11352	1.11399	1.11255	1.11283	3219	0	10
2024.08.29	10:00:00	1.11278	1.11313	1.11163	1.11299	4893	0	10
2024.08.29	11:00:00	1.11294	1.11294	1.10718	1.10849	8297	0	10
2024.08.29	12:00:00	1.10848	1.10989	1.10832	1.10938	4080	0	10
2024.08.29	13:00:00	1.10939	1.10999	1.10871	1.10974	2968	0	10
2024.08.29	14:00:00	1.10974	1.10997	1.10914	1.10961	3282	0	10
2024.08.29	15:00:00	1.10960	1.10974	1.10728	1.10840	9500	0	10
2024.08.29	16:00:00	1.10841	1.10895	1.10726	1.10821	7754	0	10
2024.08.29	17:00:00	1.10822	1.10831	1.10557	1.10698	6909	0	10
2024.08.29	18:00:00	1.10698	1.10854	1.10668	1.10848	4695	0	9
2024.08.29	19:00:00	1.10849	1.10880	1.10781	1.10816	4584	0	9
2024.08.29	20:00:00	1.10816	1.10854	1.10784	1.10837	4019	0	9
2024.08.29	21:00:00	1.10839	1.10845	1.10752	1.10791	3916	0	9
2024.08.29	22:00:00	1.10791	1.10813	1.10746	1.10758	2907	0	9
2024.08.29	23:00:00	1.10758	1.10790	1.10750	1.10768	894	0	9
2024.08.30	00:00:00	1.10762	1.10787	1.10746	1.10779	214	0	21
2024.08.30	01:00:00	1.10780	1.10802	1.10769	1.10800	380	0	9
2024.08.30	02:00:00	1.10800	1.10831	1.10788	1.10800	792	0	9
2024.08.30	03:00:00	1.10802	1.10828	1.10788	1.10806	1625	0	9
2024.08.30	04:00:00	1.10805	1.10819	1.10714	1.10714	2047	0	9
2024.08.30	05:00:00	1.10714	1.10735	1.10697	1.10720	1308	0	9
2024.08.30	06:00:00	1.10719	1.10763	1.10711	1.10736	1235	0	9
2024.08.30	07:00:00	1.10736	1.10774	1.10718	1.10739	1487	0	9
2024.08.30	08:00:00	1.10739	1.10779	1.10734	1.10770	1867	0	9
2024.08.30	09:00:00	1.10770	1.10855	1.10744	1.10849	2720	0	9
2024.08.30	10:00:00	1.10850	1.10889	1.10751	1.10840	4166	0	9
2024.08.30	11:00:00	1.10841	1.10950	1.10736	1.10750	4018	0	9
